Location,School Year,Estimated Percent Vaccinated,Population Size,Percent Surveyed,Survey Type,Category,geography_esp,categories_esp,survey_type_esp
Alabama,2024-25,95.2%,53589,99.9,Census,95%+,Alabama,95%+,Censo
Alaska,2024-25,81.2%,7338,99.8,Census (public); Not Conducted (private),Less than 90%,Alaska,Menos de 90%,Censo (público); No realizado (privado)
Arizona,2024-25,88.6%,75024,97.4,Census,Less than 90%,Arizona,Menos de 90%,Censo
Arkansas,2024-25,89.6%,37570,96.4,Census (public); Voluntary Response (private),Less than 90%,Arkansas,Menos de 90%,Respuesta voluntaria (privado); Censo (público)
California,2024-25,96.1%,590849,100,Census,95%+,California,95%+,Censo
Colorado,2024-25,88.0%,60055,100,Census,Less than 90%,Colorado,Menos de 90%,Censo
Connecticut,2024-25,98.2%,30112,100,Census,95%+,Connecticut,95%+,Censo
Delaware,2024-25,94.1%,10393,14.2,2-stage Cluster Sample (public); Non-random 2-stage Cluster Sample (private),90-94.9%,Delaware,90-94.9%,Muestra por conglomerados de dos etapas (público); Muestra por conglomerados de dos etapas no aleatoria (privado)
District of Columbia,2024-25,92.7%,7997,100,Census,90-94.9%,Distrito de Columbia,90-94.9%,Censo
Florida,2024-25,88.8%,221053,100,Census,Less than 90%,Florida,Menos de 90%,Censo
Georgia,2024-25,86.8%,114568,100,Census,Less than 90%,Georgia,Menos de 90%,Censo
Hawaii,2024-25,89.9%,13804,10.5,Stratified 2-stage Cluster Sample,Less than 90%,Hawái,Menos de 90%,Muestra por conglomerados estratificada de dos etapas
Houston,2024-25,88.7%,36981,98.8,Census (public); Voluntary Response (private),Less than 90%,Houston,Menos de 90%,Respuesta voluntaria (privado); Censo (público)
Idaho,2024-25,78.5%,22242,99.5,Census,Less than 90%,Idaho,Menos de 90%,Censo
Illinois,2024-25,91.8%,132769,99.5,Census,90-94.9%,Illinois,90-94.9%,Censo
Indiana,2024-25,90.8%,73744,92.7,Census (public); Voluntary Response (private),90-94.9%,Indiana,90-94.9%,Respuesta voluntaria (privado); Censo (público)
Iowa,2024-25,88.8%,38268,100,Census,Less than 90%,Iowa,Menos de 90%,Censo
Kansas,2024-25,91.0%,33892,29.2,Stratified 2-stage Cluster Sample,90-94.9%,Kansas,90-94.9%,Muestra por conglomerados estratificada de dos etapas
Kentucky,2024-25,86.9%,51319,100,Census,Less than 90%,Kentucky,Menos de 90%,Censo
Louisiana,2024-25,92.6%,49229,100,Census,90-94.9%,Luisiana,90-94.9%,Censo
Maine,2024-25,97.6%,11761,95.4,Census,95%+,Maine,95%+,Censo
